source_row,url,headline,clean_headline,label,fold,score_nbc,predicted_label,correct,error_direction,margin_from_threshold,confidence_margin,headline_length,word_count,has_quote,has_question,has_digit,topic_politics,topic_crime,topic_world,topic_health,topic_business,topic_culture,topic
1313,https://www.foxnews.com/politics/white-house-says-trumps-tariffs-destroy-manufacturing-exacerbate-inflation,"White House says Trump’s tariffs will destroy manufacturing, exacerbate inflation","white house says trump's tariffs will destroy manufacturing, exacerbate inflation",FoxNews,2,2.0964342536667786,NBC,False,FoxNews->NBC,2.056458745852242,2.056458745852242,81,11,False,False,False,True,False,False,False,True,False,politics
3253,https://www.nbcnews.com/politics/trump-impeachment-inquiry/closing-argument-democrats-say-not-removing-trump-would-render-him-n1128766,"Schiff's powerful closing speech: 'Is there one among you who will say, Enough!'?","schiff's powerful closing speech: 'is there one among you who will say, enough!'?",NBC,1,-1.9554224389271098,FoxNews,False,NBC->FoxNews,-1.9953979467416465,1.9953979467416465,81,14,True,True,False,False,False,False,False,False,False,other
153,https://www.foxnews.com/tech/how-score-cheap-stuff-keep-resell,How to score cheap stuff (to keep or resell),how to score cheap stuff (to keep or resell),FoxNews,3,1.7464560855633235,NBC,False,FoxNews->NBC,1.706480577748787,1.706480577748787,44,9,False,False,False,False,False,False,False,False,False,other
3803,https://www.nbcnews.com/politics/2024-election/trump-says-presidential-civilian-award-better-top-military-honor-whose-rcna166855,Trump says presidential civilian award is 'better' than top military honor whose recipients are 'dead' or 'hit' by bullets,trump says presidential civilian award is 'better' than top military honor whose recipients are 'dead' or 'hit' by bullets,NBC,1,-1.5035155016332418,FoxNews,False,NBC->FoxNews,-1.5434910094477785,1.5434910094477785,122,19,True,False,False,True,True,True,False,False,False,politics
2423,https://www.nbcnews.com/politics/2024-election/live-blog/harris-trump-presidential-election-live-updates-rcna172165/rcrd57088?canonicalCard=true,Chuck Schumer appeals to Harris to attend Al Smith dinner at request of prominent Cardinal,chuck schumer appeals to harris to attend al smith dinner at request of prominent cardinal,NBC,1,-1.381792718916813,FoxNews,False,NBC->FoxNews,-1.4217682267313498,1.4217682267313498,90,15,False,False,False,False,False,False,False,False,False,other
3616,https://www.nbcnews.com/politics/2024-election/kamala-harris-interview-tim-walz-cnn-biden-election-rcna168705,Kamala Harris defends her policy changes in first interview: 'My values have not changed',kamala harris defends her policy changes in first interview: 'my values have not changed',NBC,1,-1.3575625965011673,FoxNews,False,NBC->FoxNews,-1.397538104315704,1.397538104315704,89,14,True,False,False,False,False,False,False,False,False,other
1967,https://www.foxnews.com/media/pence-declines-to-endorse-trump-wont-back-biden,"Pence declines to endorse Trump, won't back Biden","pence declines to endorse trump, won't back biden",FoxNews,2,1.2813937606417833,NBC,False,FoxNews->NBC,1.2414182528272466,1.2414182528272466,49,9,True,False,False,True,False,False,False,False,False,politics
3372,https://www.nbcnews.com/sports/olympics/live-blog/olympic-games-2024-live-updates-rcna162868,"2024 Olympics: Simone Biles takes gold in vault, Sha'Carri Richardson gets silver in 100 meter","2024 olympics: simone biles takes gold in vault, sha'carri richardson gets silver in 100 meter",NBC,4,-1.14126493352126,FoxNews,False,NBC->FoxNews,-1.1812404413357966,1.1812404413357966,94,16,True,False,True,False,False,False,False,False,False,other
2808,https://www.nbcnews.com/politics/congress/-not-progressive-fetterman-breaks-left-israel-immigration-rcna129747,"'I'm not a progressive': Fetterman breaks with the left, showing a maverick side","'i'm not a progressive': fetterman breaks with the left, showing a maverick side",NBC,4,-1.1346918078076127,FoxNews,False,NBC->FoxNews,-1.1746673156221492,1.1746673156221492,80,14,True,False,False,False,False,False,False,False,False,other
3468,https://www.nbcnews.com/news/world/israel-hamas-war-gaza-tent-city-rafah-bombardment-sheets-buckets-rcna129543,'God help us': Displaced Gazans who fled bombardment now face health crisis in a makeshift tent city,'god help us': displaced gazans who fled bombardment now face health crisis in a makeshift tent city,NBC,5,-1.1195047490980279,FoxNews,False,NBC->FoxNews,-1.1594802569125644,1.1594802569125644,100,17,True,False,False,False,False,False,True,False,False,health
