source_row,url,headline,clean_headline,label,fold,score_nbc,predicted_label,correct,error_direction,margin_from_threshold,confidence_margin,headline_length,word_count,has_quote,has_question,has_digit,topic_politics,topic_crime,topic_world,topic_health,topic_business,topic_culture,topic
3735,https://www.nbcnews.com/politics/2024-election/lock-hillary-clinton-smiles-nods-chants-echoing-trump-supporters-rcna167299,'Lock him up!': Hillary Clinton smiles and nods amid chants echoing Trump supporters,'lock him up!': hillary clinton smiles and nods amid chants echoing trump supporters,NBC,2,-1.585960256477318,FoxNews,False,NBC->FoxNews,-1.4670618882547521,1.4670618882547521,84,13,True,False,False,True,False,False,False,False,False,politics
1060,https://www.foxnews.com/media/gutfeld-draws-largest-audience-program-history-trump-appearance.print,'Gutfeld!' draws largest audience in program history with Trump appearance,'gutfeld!' draws largest audience in program history with trump appearance,FoxNews,3,1.0377164366771114,NBC,False,FoxNews->NBC,1.1566148048996774,1.1566148048996774,74,10,True,False,False,True,False,False,False,False,False,politics
1346,https://www.foxnews.com/opinion/bidens-moral-equivalency-between-israel-palestinians-will-result-failure-again,Biden’s moral equivalency between Israel and the Palestinians will result in failure again,biden's moral equivalency between israel and the palestinians will result in failure again,FoxNews,3,0.9966852556685519,NBC,False,FoxNews->NBC,1.1155836238911179,1.1155836238911179,90,14,False,False,False,True,False,True,False,False,False,politics
1111,https://www.foxnews.com/politics/biden-pledges-7-3b-clean-energy-spending-national-debt-35t,Biden pledges $7.3B in 'clean energy' spending with national debt at $35T,biden pledges $7.3b in 'clean energy' spending with national debt at $35t,FoxNews,2,0.9507988056003032,NBC,False,FoxNews->NBC,1.069697173822869,1.069697173822869,73,13,True,False,True,True,False,False,False,False,False,politics
1385,https://www.foxnews.com/politics/zelenskyy-downplays-comment-trump-doesnt-know-how-end-russias-war-ukraine,Zelenskyy downplays comment that Trump doesn't know how to end Russia's war with Ukraine,zelenskyy downplays comment that trump doesn't know how to end russia's war with ukraine,FoxNews,3,0.9273527102337034,NBC,False,FoxNews->NBC,1.0462510784562693,1.0462510784562693,88,16,True,False,False,True,False,True,False,False,False,politics
1548,https://www.foxnews.com/politics/republicans-skeptical-doj-block-russian-election-interference,Republicans 'skeptical' of DOJ move to block Russian election interference,republicans 'skeptical' of doj move to block russian election interference,FoxNews,5,0.9265151901004347,NBC,False,FoxNews->NBC,1.0454135583230006,1.0454135583230006,74,10,True,False,False,True,False,False,False,False,False,politics
1967,https://www.foxnews.com/media/pence-declines-to-endorse-trump-wont-back-biden,"Pence declines to endorse Trump, won't back Biden","pence declines to endorse trump, won't back biden",FoxNews,1,0.8993476344826732,NBC,False,FoxNews->NBC,1.0182460027052391,1.0182460027052391,49,9,True,False,False,True,False,False,False,False,False,politics
322,https://www.foxnews.com/media/bill-maher-trump-right-dangerous-rhetoric-aimed-him-but-he-threat-democracy,"Bill Maher: Trump is 'right' about the dangerous rhetoric aimed at him, 'but he is a threat to democracy!'","bill maher: trump is 'right' about the dangerous rhetoric aimed at him, 'but he is a threat to democracy!'",FoxNews,3,0.8884608027867965,NBC,False,FoxNews->NBC,1.0073591710093623,1.0073591710093623,106,19,True,False,False,True,False,False,False,False,False,politics
566,https://www.foxnews.com/politics/local-residents-explode-biden-officials-plan-release-grizzly-bears-near-communities,Local residents explode at Biden officials over plan to release grizzly bears near their communities,local residents explode at biden officials over plan to release grizzly bears near their communities,FoxNews,2,0.8771981669847772,NBC,False,FoxNews->NBC,0.9960965352073431,0.9960965352073431,100,15,False,False,False,True,False,False,False,False,False,politics
2906,https://www.nbcnews.com/politics/2024-election/poll-numbers-key-groups-moved-biden-harris-trump-rcna172013,Inside the poll numbers: Which key groups have moved and which ones haven't since Biden's exit,inside the poll numbers: which key groups have moved and which ones haven't since biden's exit,NBC,4,-1.0520853292336936,FoxNews,False,NBC->FoxNews,-0.9331869610111276,0.9331869610111276,94,18,True,False,False,True,False,False,False,False,False,politics
1650,https://www.foxnews.com/opinion/unnoticed-election-could-determine-future,The unnoticed election that could determine the future,the unnoticed election that could determine the future,FoxNews,5,0.8106913531213016,NBC,False,FoxNews->NBC,0.9295897213438675,0.9295897213438675,54,8,False,False,False,True,False,False,False,False,False,politics
840,https://www.foxnews.com/opinion/biden-clearly-poor-health-deserve-honest-transparent-report,Biden is clearly in poor health. We deserve an honest and transparent report,biden is clearly in poor health. we deserve an honest and transparent report,FoxNews,5,0.8026544110496009,NBC,False,FoxNews->NBC,0.9215527792721668,0.9215527792721668,76,13,False,False,False,True,False,False,True,False,False,politics
3323,https://www.nbcnews.com/nbc-out/out-news/biden-gives-historic-interview-lgbtq-newspaper-washington-blade-rcna171349,Biden gives historic interview to LGBTQ newspaper,biden gives historic interview to lgbtq newspaper,NBC,5,-1.0402201140352476,FoxNews,False,NBC->FoxNews,-0.9213217458126817,0.9213217458126817,49,7,False,False,False,True,False,False,False,False,False,politics
1934,https://www.foxnews.com/us/trump-safe-after-gunshots-his-vicinity-campaign-says,"Trump safe after 'gunshots in his vicinity,' campaign says","trump safe after 'gunshots in his vicinity,' campaign says",FoxNews,3,0.7931664448964619,NBC,False,FoxNews->NBC,0.9120648131190279,0.9120648131190279,58,9,True,False,False,True,False,False,False,False,False,politics
1184,https://www.foxnews.com/lifestyle/blind-michigan-judge-drives-race-car-inspires-follow-dreams,"Blind Michigan judge drives race car and inspires others to follow their dreams, too","blind michigan judge drives race car and inspires others to follow their dreams, too",FoxNews,5,0.7699331345278925,NBC,False,FoxNews->NBC,0.8888315027504584,0.8888315027504584,84,14,False,False,False,True,False,False,False,False,False,politics
1735,https://www.foxnews.com/media/assassination-expert-trump-triple-secret-service-jfk-still-came-inch-death,Assassination expert says Trump had ‘triple the Secret Service’ JFK had and still came an inch from death,assassination expert says trump had 'triple the secret service' jfk had and still came an inch from death,FoxNews,5,0.7604586538770668,NBC,False,FoxNews->NBC,0.8793570220996327,0.8793570220996327,105,18,False,False,False,True,True,False,False,False,False,politics
415,https://www.foxnews.com/live-news/republican-national-convention-2024-rnc-donald-trump-jd-vance,JD Vance speaks at RNC on Day 3; Donald Trump's granddaughter Kai gives speech,jd vance speaks at rnc on day 3; donald trump's granddaughter kai gives speech,FoxNews,2,0.7600038344851393,NBC,False,FoxNews->NBC,0.8789022027077052,0.8789022027077052,78,15,True,False,True,True,False,False,False,False,False,politics
1562,https://foxnews.com/politics/trump-says-he-probably-took-bullet-head-due-dem-rhetoric,Trump says he 'probably took a bullet to the head' due to Dem rhetoric,trump says he 'probably took a bullet to the head' due to dem rhetoric,FoxNews,2,0.7134477929261521,NBC,False,FoxNews->NBC,0.8323461611487181,0.8323461611487181,70,14,True,False,False,True,False,False,False,False,False,politics
2980,https://www.nbcnews.com/politics/2024-election/poll-half-gen-z-voters-support-kamala-harris-one-third-back-donald-tru-rcna169025,"Poll: Half of Gen Z voters support Harris, one third back Trump","poll: half of gen z voters support harris, one third back trump",NBC,1,-0.9484298343452048,FoxNews,False,NBC->FoxNews,-0.8295314661226388,0.8295314661226388,63,12,False,False,False,True,False,False,False,False,False,politics
1327,https://www.foxnews.com/politics/3-harris-dnc-attack-lines-against-trump-were-inaccurate-false,Three Harris DNC attack lines against Trump that were inaccurate or false,three harris dnc attack lines against trump that were inaccurate or false,FoxNews,1,0.6935577099277357,NBC,False,FoxNews->NBC,0.8124560781503016,0.8124560781503016,73,12,False,False,False,True,False,False,False,False,False,politics
262,https://www.foxnews.com/media/biden-praises-florida-gov-ron-desantis-very-gracious-amid-hurricane-relief-effort.print,Biden praises Florida Gov. Ron DeSantis as ‘very gracious’ amid hurricane relief effort,biden praises florida gov. ron desantis as 'very gracious' amid hurricane relief effort,FoxNews,3,0.6333854710250858,NBC,False,FoxNews->NBC,0.7522838392476517,0.7522838392476517,87,13,False,False,False,True,False,False,False,False,False,politics
965,https://www.foxnews.com/us/biden-award-medal-of-honor-korean-war-retired-georgia-colonel,Biden awards first Medal of Honor to Korean War hero,biden awards first medal of honor to korean war hero,FoxNews,4,0.629555345371802,NBC,False,FoxNews->NBC,0.748453713594368,0.748453713594368,52,10,False,False,False,True,False,True,False,False,False,politics
2890,https://www.nbcnews.com/news/asian-america/harris-trump-poll-asian-american-voters-rcna172255,"Harris leads Trump by almost 40 points among Asian American voters, a new poll shows","harris leads trump by almost 40 points among asian american voters, a new poll shows",NBC,5,-0.8584140361439726,FoxNews,False,NBC->FoxNews,-0.7395156679214067,0.7395156679214067,84,15,False,False,True,True,False,False,False,False,False,politics
1252,https://www.foxnews.com/media/charlamagne-tha-god-says-young-black-man-predicted-trumps-podcast-appearance-get-him-elected.print,Charlamagne tha God says young Black man predicted Trump's podcast appearance will get him elected,charlamagne tha god says young black man predicted trump's podcast appearance will get him elected,FoxNews,2,0.6161382432097025,NBC,False,FoxNews->NBC,0.7350366114322684,0.7350366114322684,98,16,True,False,False,True,False,False,False,False,False,politics
1816,https://www.foxnews.com/politics/trump-visits-atlanta-chick-fil-a-buys-customers-chicken-shakes,"Trump visits Atlanta Chick fil A, buys customers chicken and shakes","trump visits atlanta chick fil a, buys customers chicken and shakes",FoxNews,3,0.6156617629333158,NBC,False,FoxNews->NBC,0.7345601311558817,0.7345601311558817,67,11,False,False,False,True,False,False,False,False,False,politics
54,https://www.foxnews.com/politics/wisconsin-kicks-off-election-season-first-widely-available-absentee-ballots.print,Wisconsin kicks off election season with first widely available absentee ballots,wisconsin kicks off election season with first widely available absentee ballots,FoxNews,2,0.6142177803315716,NBC,False,FoxNews->NBC,0.7331161485541375,0.7331161485541375,80,11,False,False,False,True,False,False,False,False,True,politics
2098,https://www.nbcnews.com/politics/donald-trump/trump-degrading-language-immigrants-rcna171120,From 'rapists' to 'eating the pets': Trump has long used degrading language toward immigrants,from 'rapists' to 'eating the pets': trump has long used degrading language toward immigrants,NBC,1,-0.8417003041159014,FoxNews,False,NBC->FoxNews,-0.7228019358933354,0.7228019358933354,93,14,True,False,False,True,False,False,False,False,False,politics
1271,https://www.foxnews.com/politics/biden-executive-action-abortion-access-pressure-democrats.print,Biden to take executive action on abortion access following immense pressure from Democrats,biden to take executive action on abortion access following immense pressure from democrats,FoxNews,5,0.5991721471929505,NBC,False,FoxNews->NBC,0.7180705154155165,0.7180705154155165,91,13,False,False,False,True,False,False,False,False,False,politics
1505,https://www.foxnews.com/politics/biden-ends-bid-second-term-white-house-he-drops-out-his-2024-rematch-trump,Biden ends bid for second term in White House as he drops out of his 2024 rematch with Trump,biden ends bid for second term in white house as he drops out of his 2024 rematch with trump,FoxNews,4,0.5958750324422044,NBC,False,FoxNews->NBC,0.7147734006647704,0.7147734006647704,92,19,False,False,True,True,False,False,False,False,False,politics
788,https://www.foxnews.com/politics/days-until-voting-starts-election-season-kicks-off-sooner,Early voting means 'election season' has already begun,early voting means 'election season' has already begun,FoxNews,4,0.580374802725405,NBC,False,FoxNews->NBC,0.6992731709479709,0.6992731709479709,54,8,True,False,False,True,False,False,False,False,True,politics
3142,https://www.nbcnews.com/news/us-news/man-charged-apparent-trump-plot-wrote-assassination-attempt-court-rcna172199,"Man charged in apparent Trump plot wrote 'This was an assassination attempt,' court filing shows","man charged in apparent trump plot wrote 'this was an assassination attempt,' court filing shows",NBC,5,-0.8176525111281878,FoxNews,False,NBC->FoxNews,-0.6987541429056219,0.6987541429056219,96,15,True,False,False,True,True,False,False,False,False,politics
3803,https://www.nbcnews.com/politics/2024-election/trump-says-presidential-civilian-award-better-top-military-honor-whose-rcna166855,Trump says presidential civilian award is 'better' than top military honor whose recipients are 'dead' or 'hit' by bullets,trump says presidential civilian award is 'better' than top military honor whose recipients are 'dead' or 'hit' by bullets,NBC,3,-0.8152659422231591,FoxNews,False,NBC->FoxNews,-0.6963675740005931,0.6963675740005931,122,19,True,False,False,True,True,True,False,False,False,politics
715,https://www.foxnews.com/politics/trump-biden-face-tests-final-2024-presidential-primaries.print,"Trump, Biden face tests in final 2024 presidential primaries","trump, biden face tests in final 2024 presidential primaries",FoxNews,2,0.5717957779723215,NBC,False,FoxNews->NBC,0.6906941461948874,0.6906941461948874,60,9,False,False,True,True,False,False,False,False,False,politics
1310,https://www.foxnews.com/politics/biden-iraq-afghanistan-about-40-times-administration-says-its-half-of-that,"Biden repeats false claim about trips to Iraq and Afghanistan, this time to graduating midshipmen","biden repeats false claim about trips to iraq and afghanistan, this time to graduating midshipmen",FoxNews,3,0.5630156462298852,NBC,False,FoxNews->NBC,0.6819140144524511,0.6819140144524511,97,15,False,False,False,True,False,False,False,False,False,politics
1331,https://www.foxnews.com/us/pennsylvania-court-school-mask-mandate,"Pennsylvania court tosses school mask mandate, health secretary appeals","pennsylvania court tosses school mask mandate, health secretary appeals",FoxNews,2,0.5524375892814128,NBC,False,FoxNews->NBC,0.6713359575039788,0.6713359575039788,71,9,False,False,False,True,False,False,True,False,False,politics
3719,https://www.nbcnews.com/politics/immigration/jocelyn-nungaray-houston-trump-biden-debate-immigration-rcna158394,Death of 12 year old girl in Texas fuels Trump Biden debate on immigration,death of 12 year old girl in texas fuels trump biden debate on immigration,NBC,5,-0.7853826547603894,FoxNews,False,NBC->FoxNews,-0.6664842865378234,0.6664842865378234,74,14,False,False,True,True,True,False,False,False,False,politics
1598,https://www.foxnews.com/politics/north-carolina-gop-goes-offense-pushing-ambitious-agenda-new-supermajority-state-house,"North Carolina GOP goes on offense, pushing ambitious agenda with new supermajority in state House","north carolina gop goes on offense, pushing ambitious agenda with new supermajority in state house",FoxNews,4,0.5456286592852451,NBC,False,FoxNews->NBC,0.664527027507811,0.664527027507811,98,15,False,False,False,True,False,False,False,False,False,politics
1188,https://www.foxnews.com/media/egypt-warned-israel-attack-house-foreign-affairs-chairman-claims.print,"Egypt warned Israel of attack, House Foreign Affairs chairman claims","egypt warned israel of attack, house foreign affairs chairman claims",FoxNews,1,0.5355987402942727,NBC,False,FoxNews->NBC,0.6544971085168386,0.6544971085168386,68,10,False,False,False,True,False,True,False,False,False,politics
396,https://www.foxnews.com/sports/acting-secret-service-director-pressed-trumps-potential-appearance-alabama-georgia-game.print,Acting Secret Service director pressed on Trump's potential appearance at Alabama Georgia game,acting secret service director pressed on trump's potential appearance at alabama georgia game,FoxNews,2,0.531703096483622,NBC,False,FoxNews->NBC,0.650601464706188,0.650601464706188,94,14,True,False,False,True,False,False,False,False,True,politics
1867,https://www.foxnews.com/politics/iran-trying-sabotage-trumps-presidential-campaign-us-intelligence,Iran trying to sabotage Trump's presidential campaign: US intelligence,iran trying to sabotage trump's presidential campaign: us intelligence,FoxNews,2,0.5313625153500086,NBC,False,FoxNews->NBC,0.6502608835725745,0.6502608835725745,70,10,True,False,False,True,False,True,False,False,False,politics
601,https://www.foxnews.com/opinion/one-year-after-10-7-attacks-democrat-run-states-have-let-antisemitism-fester.print,One year after 10/7 attacks and Democrat run states have let antisemitism fester,one year after 10/7 attacks and democrat run states have let antisemitism fester,FoxNews,2,0.5044491861750966,NBC,False,FoxNews->NBC,0.6233475543976625,0.6233475543976625,80,14,False,False,True,True,False,False,False,False,False,politics
1421,https://www.foxnews.com/media/the-view-co-host-lead-anti-trump-event-pennsylvania.print,'The View' co host to lead anti Trump event in Pennsylvania,'the view' co host to lead anti trump event in pennsylvania,FoxNews,4,0.5013543053857226,NBC,False,FoxNews->NBC,0.6202526736082885,0.6202526736082885,59,11,True,False,False,True,False,False,False,False,False,politics
5,https://www.foxnews.com/politics/striking-boeing-workers-boo-after-democrat-sen-maria-cantwell-criticizes-trump.print,Striking Boeing workers boo after Democratic Sen. Maria Cantwell criticizes Trump,striking boeing workers boo after democratic sen. maria cantwell criticizes trump,FoxNews,4,0.49844818096517696,NBC,False,FoxNews->NBC,0.6173465491877429,0.6173465491877429,81,11,False,False,False,True,False,False,False,False,False,politics
71,https://www.foxnews.com/politics/trump-indicted-second-time-election-subversion-case-brought-special-counsel-jack-smith.print,Trump indicted a second time in election subversion case brought by special counsel Jack Smith,trump indicted a second time in election subversion case brought by special counsel jack smith,FoxNews,5,0.48954809340425376,NBC,False,FoxNews->NBC,0.6084464616268197,0.6084464616268197,94,15,False,False,False,True,False,False,False,False,False,politics
216,https://www.foxnews.com/opinion/trumps-brilliant-tax-free-tips-plan.print,All the reasons why Trump's tax free tips plan is brilliant,all the reasons why trump's tax free tips plan is brilliant,FoxNews,3,0.48745295718156045,NBC,False,FoxNews->NBC,0.6063513254041264,0.6063513254041264,59,12,True,False,False,True,False,False,False,True,False,politics
908,https://www.foxnews.com/politics/elite-university-journalism-professor-exposed-for-monthslong-campaign-justifying-hamas,Elite university journalism professor exposed for monthslong campaign justifying Hamas,elite university journalism professor exposed for monthslong campaign justifying hamas,FoxNews,1,0.4816336645489838,NBC,False,FoxNews->NBC,0.6005320327715498,0.6005320327715498,86,10,False,False,False,True,False,False,False,False,False,politics
1609,https://www.foxnews.com/media/trump-says-howard-stern-great-went-woke-ratings-down-tubes,Trump says Howard Stern was great until he ‘went woke’ and ratings have 'gone down the tubes',trump says howard stern was great until he 'went woke' and ratings have 'gone down the tubes',FoxNews,4,0.4794773060048833,NBC,False,FoxNews->NBC,0.5983756742274493,0.5983756742274493,93,17,True,False,False,True,False,False,False,False,False,politics
1502,https://www.foxnews.com/politics/supreme-court-trump-special-counsel-jan-6,Supreme Court agrees to review whether Trump immune from prosecution in federal election interference case,supreme court agrees to review whether trump immune from prosecution in federal election interference case,FoxNews,5,0.4767486604601631,NBC,False,FoxNews->NBC,0.5956470286827291,0.5956470286827291,106,15,False,False,False,True,False,False,False,False,False,politics
1052,https://www.foxnews.com/politics/what-paying-your-fair-share-mean-jury-still-out-members-congress.print,What does paying your 'fair share' mean? The jury is still out for members of Congress.,what does paying your 'fair share' mean? the jury is still out for members of congress.,FoxNews,1,0.47625792413854195,NBC,False,FoxNews->NBC,0.5951562923611079,0.5951562923611079,87,16,True,True,False,True,False,False,False,False,False,politics
946,https://www.foxnews.com/opinion/boy-beat-track-sexually-harassed-biden-thinks-problem.print,A boy beat me in track and sexually harassed me. Biden thinks I’m the problem,a boy beat me in track and sexually harassed me. biden thinks i'm the problem,FoxNews,3,0.4758493264232463,NBC,False,FoxNews->NBC,0.5947476946458122,0.5947476946458122,77,16,False,False,False,True,False,False,False,False,False,politics
763,https://www.foxnews.com/politics/georgia-judge-blocks-rule-requiring-clerks-hand-count-number-ballots,Georgia judge blocks rule requiring clerks to hand count number of ballots,georgia judge blocks rule requiring clerks to hand count number of ballots,FoxNews,2,0.45526470680436537,NBC,False,FoxNews->NBC,0.5741630750269313,0.5741630750269313,74,12,False,False,False,True,False,False,False,False,False,politics
1004,https://www.foxnews.com/politics/supreme-court-rules-favor-jan-6-capitol-riot-participant-challenged-obstruction-conviction.print,Supreme Court rules in favor of Jan. 6 Capitol riot participant who challenged obstruction conviction,supreme court rules in favor of jan. 6 capitol riot participant who challenged obstruction conviction,FoxNews,4,0.4459582482781849,NBC,False,FoxNews->NBC,0.5648566165007509,0.5648566165007509,101,15,False,False,True,True,False,False,False,False,False,politics
1307,https://www.foxnews.com/politics/kamala-harris-presidential-campaign-raises-nearly-50-million-since-biden-endorsement,Kamala Harris' presidential campaign raises nearly $50 million since Biden endorsement,kamala harris' presidential campaign raises nearly $50 million since biden endorsement,FoxNews,2,0.44409003886675563,NBC,False,FoxNews->NBC,0.5629884070893216,0.5629884070893216,86,11,True,False,True,True,False,False,False,False,False,politics
189,https://www.foxnews.com/politics/how-long-kamala-harris-honeymoon-polls-against-donald-trump-last,How long will the Kamala Harris honeymoon in the polls against Donald Trump last?,how long will the kamala harris honeymoon in the polls against donald trump last?,FoxNews,1,0.44075440371474384,NBC,False,FoxNews->NBC,0.5596527719373098,0.5596527719373098,81,14,False,True,False,True,False,False,False,False,False,politics
741,https://www.foxnews.com/politics/trump-harris-poll-dead-heat-nbc-news-survey-election-day-approaches,Trump and Harris poll in dead heat in survey as Election Day approaches,trump and harris poll in dead heat in survey as election day approaches,FoxNews,3,0.423942562497173,NBC,False,FoxNews->NBC,0.5428409307197389,0.5428409307197389,71,13,False,False,False,True,True,False,False,False,False,politics
3787,https://www.nbcnews.com/politics/2024-election/rfk-jr-running-mate-outlines-two-options-drop-back-trump-risk-harris-w-rcna167395,RFK Jr.'s running mate outlines 'two options': Drop out and back Trump or 'risk' Harris win,rfk jr.'s running mate outlines 'two options': drop out and back trump or 'risk' harris win,NBC,1,-0.6617056541192622,FoxNews,False,NBC->FoxNews,-0.5428072858966962,0.5428072858966962,91,17,True,False,False,True,False,False,False,False,False,politics
2105,https://www.nbcnews.com/politics/white-house/biden-give-first-major-foreign-policy-address-restoring-america-s-n1256225,Biden to give first major foreign policy address on 'restoring America's place in the world',biden to give first major foreign policy address on 'restoring america's place in the world',NBC,5,-0.6609326042175294,FoxNews,False,NBC->FoxNews,-0.5420342359949635,0.5420342359949635,92,16,True,False,False,True,False,True,False,False,False,politics
